K,SilhouetteScore
2,0.9313992403984228
3,0.5890343852428707
4,0.6113251620669347
5,0.6139431655248644
6,0.5058661923162936
7,0.49296872679763487
8,0.49730443893880577
9,0.3995349436450943
10,0.43047540571490434
