K,WCSS
2,8728.777543439759
3,5158.586799307537
4,3587.8455855364946
5,2738.847120441599
6,2234.5811936522373
7,1818.6492734081323
8,1559.9236377854834
9,1402.2226114328882
10,1277.1336752538598
